epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9109,1.65297,4.04581,1.9316,0.58003,0.69236,0.70221,0.46027,1.17025,3.28902,1.60378,0.00023331,0.00023331,0.00023331
2,33.7455,1.21959,2.01404,1.49561,0.67448,0.54139,0.66398,0.39442,1.38227,1.89397,1.8168,0.000468271,0.000468271,0.000468271
3,44.9785,1.22339,1.63868,1.47199,0.44668,0.7349,0.65626,0.35879,1.49411,2.22421,2.14958,0.000693553,0.000693553,0.000693553
4,55.9338,1.26587,1.53518,1.52377,0.56876,0.7587,0.77137,0.42739,1.35886,1.66265,1.91557,0.000909156,0.000909156,0.000909156
5,66.7014,1.23177,1.4131,1.49153,0.62561,0.7918,0.73904,0.39178,1.51472,1.78962,2.05606,0.00102301,0.00102301,0.00102301
6,77.4568,1.22994,1.30872,1.46102,0.72893,0.85975,0.86933,0.54715,1.1857,1.35491,1.70291,0.00100101,0.00100101,0.00100101
7,88.2893,1.21745,1.24508,1.4482,0.72421,0.8566,0.88193,0.53687,1.15657,1.72549,1.60762,0.000979013,0.000979013,0.000979013
8,99.1933,1.17223,1.1814,1.41218,0.73321,0.84553,0.923,0.54825,1.29444,1.51027,1.82713,0.000957015,0.000957015,0.000957015
9,111.279,1.16627,1.10669,1.40069,0.82457,0.74493,0.88266,0.58647,1.13191,1.29584,1.66833,0.000935018,0.000935018,0.000935018
10,122.738,1.13852,1.11356,1.39532,0.83075,0.90886,0.92326,0.58642,1.23839,1.06304,1.64276,0.00091302,0.00091302,0.00091302
11,134.745,1.17358,1.10655,1.41746,0.84938,0.89545,0.93488,0.57872,1.24949,1.03696,1.63679,0.000891022,0.000891022,0.000891022
12,147.322,1.13555,1.02068,1.38304,0.69361,0.82701,0.83431,0.52602,1.25243,1.26605,1.64145,0.000869024,0.000869024,0.000869024
13,158.411,1.10448,1.03157,1.3474,0.8805,0.89925,0.96505,0.6562,1.11422,0.89572,1.49857,0.000847026,0.000847026,0.000847026
14,169.256,1.10103,0.95271,1.33791,0.93699,0.7928,0.93763,0.63541,1.09404,1.05727,1.46783,0.000825029,0.000825029,0.000825029
15,179.991,1.08009,0.95192,1.3475,0.90419,0.87888,0.94993,0.67578,1.02296,0.94389,1.42905,0.000803031,0.000803031,0.000803031
16,190.9,1.09174,0.89954,1.34985,0.85235,0.9555,0.95634,0.68637,1.0136,0.77265,1.4074,0.000781033,0.000781033,0.000781033
17,202.972,1.02452,0.88799,1.32065,0.92385,0.95075,0.9763,0.66194,1.08386,0.75938,1.51029,0.000759035,0.000759035,0.000759035
18,215.442,1.03305,0.82579,1.33196,0.93325,0.88232,0.95764,0.64285,1.14947,0.76845,1.551,0.000737037,0.000737037,0.000737037
19,227.203,1.01788,0.80745,1.30647,0.92949,0.94126,0.98647,0.68586,1.06835,0.73611,1.50065,0.00071504,0.00071504,0.00071504
20,239.58,1.02053,0.80858,1.31775,0.92328,0.96454,0.97092,0.7016,0.9658,0.73548,1.38603,0.000693042,0.000693042,0.000693042
21,263.729,1.01341,0.7577,1.2902,0.96981,0.99065,0.98754,0.7014,1.03908,0.64367,1.42024,0.000671044,0.000671044,0.000671044
22,276.279,1.01426,0.82256,1.29482,0.92419,0.94671,0.97889,0.67645,1.0617,0.72016,1.45539,0.000649046,0.000649046,0.000649046
23,288.328,0.99035,0.77768,1.25611,0.91913,0.94862,0.97687,0.67279,1.1057,0.71822,1.50743,0.000627048,0.000627048,0.000627048
24,299.403,0.97654,0.76488,1.26724,0.93558,0.98473,0.98502,0.70388,1.0054,0.67705,1.39484,0.000605051,0.000605051,0.000605051
25,310.28,0.94297,0.71489,1.23581,0.96282,0.97446,0.98655,0.70662,1.05856,0.62215,1.44424,0.000583053,0.000583053,0.000583053
26,320.549,0.93593,0.69215,1.24793,0.91947,0.95713,0.97677,0.6919,1.05952,0.68095,1.4327,0.000561055,0.000561055,0.000561055
27,329.342,0.94848,0.66878,1.25718,0.93195,0.98875,0.98994,0.70314,1.04069,0.55712,1.45864,0.000539057,0.000539057,0.000539057
28,338.738,0.95537,0.68195,1.26973,0.94546,0.95757,0.98739,0.70075,1.01825,0.57803,1.39557,0.000517059,0.000517059,0.000517059
29,347.349,0.90346,0.65072,1.21501,0.97597,0.96365,0.98761,0.71956,1.05547,0.61566,1.43267,0.000495062,0.000495062,0.000495062
30,356.819,0.8858,0.67335,1.21944,0.95407,0.93643,0.97425,0.69824,1.10195,0.58269,1.51555,0.000473064,0.000473064,0.000473064
31,365.67,0.8716,0.62815,1.20932,0.9823,0.992,0.98986,0.69703,1.06424,0.56167,1.49174,0.000451066,0.000451066,0.000451066
32,374.88,0.84133,0.58301,1.19414,0.94512,0.98765,0.9894,0.69042,1.10379,0.55909,1.4805,0.000429068,0.000429068,0.000429068
33,384.085,0.88218,0.62235,1.22602,0.93744,0.97563,0.98347,0.7272,0.99408,0.59529,1.38271,0.00040707,0.00040707,0.00040707
34,393.413,0.8778,0.60918,1.2015,0.9489,0.99188,0.98856,0.72803,0.97057,0.53605,1.35943,0.000385073,0.000385073,0.000385073
35,402.27,0.86386,0.58414,1.21387,0.96516,0.992,0.98879,0.72153,0.99629,0.52615,1.36612,0.000363075,0.000363075,0.000363075
36,413.62,0.85357,0.58708,1.20529,0.96879,0.97626,0.98054,0.70479,1.02498,0.58763,1.39497,0.000341077,0.000341077,0.000341077
37,422.454,0.89713,0.61694,1.22603,0.95872,0.96556,0.98903,0.70559,1.04327,0.53228,1.424,0.000319079,0.000319079,0.000319079
38,431.934,0.81246,0.5466,1.16647,0.97409,0.98077,0.98882,0.74156,0.98612,0.50545,1.37178,0.000297081,0.000297081,0.000297081
39,441.238,0.79741,0.54343,1.14965,0.96,0.98219,0.98869,0.7328,1.00956,0.51274,1.4044,0.000275084,0.000275084,0.000275084
40,450.627,0.82234,0.54638,1.1736,0.9733,0.96826,0.9894,0.74201,1.01752,0.51163,1.40001,0.000253086,0.000253086,0.000253086
41,495.077,0.7362,0.44562,1.16673,0.94597,0.9728,0.98761,0.72437,0.98512,0.51546,1.37029,0.000231088,0.000231088,0.000231088
42,504.165,0.70257,0.43602,1.13092,0.95042,0.97189,0.98838,0.72116,1.00609,0.5345,1.37862,0.00020909,0.00020909,0.00020909
43,512.879,0.70831,0.41039,1.14634,0.95696,0.9833,0.98839,0.7055,1.04155,0.51796,1.40789,0.000187092,0.000187092,0.000187092
44,522.106,0.69145,0.39519,1.12196,0.9809,0.992,0.98843,0.72995,1.02041,0.51693,1.37936,0.000165095,0.000165095,0.000165095
45,531.065,0.68884,0.38796,1.13206,0.9832,0.99169,0.98947,0.7329,0.98969,0.48895,1.36133,0.000143097,0.000143097,0.000143097
46,540.811,0.68923,0.38499,1.114,0.98191,0.98489,0.98993,0.72235,1.00441,0.48328,1.37356,0.000121099,0.000121099,0.000121099
47,550.532,0.64587,0.37004,1.0864,0.98059,0.992,0.99008,0.73079,0.99795,0.48518,1.38574,9.91012e-05,9.91012e-05,9.91012e-05
48,561.329,0.64203,0.35542,1.06888,0.98425,0.992,0.99,0.73143,0.99251,0.47972,1.38174,7.71034e-05,7.71034e-05,7.71034e-05
49,570.917,0.66134,0.36074,1.1011,0.98422,0.99039,0.99024,0.72714,1.0008,0.4837,1.37822,5.51056e-05,5.51056e-05,5.51056e-05
50,580.262,0.63893,0.36202,1.09198,0.98262,0.98901,0.99008,0.7218,1.00653,0.48149,1.37885,3.31078e-05,3.31078e-05,3.31078e-05
